TokenText  TokenCode 
BEGINSYM   1         
EmptySpace 13        
READSYM    3         
LParen     19        
Id         11        
PlusOp     14        
Id         11        
RParen     20        
SemiColon  18        
EmptySpace 13        
WRITESYM   4         
LParen     19        
Id         11        
RParen     20        
SemiColon  18        
EmptySpace 13        
Id         11        
AssignOp   16        
IntLiteral 12        
SemiColon  18        
EmptySpace 13        
ENDSYM     2         
